"Sample Name"	"Extract Name"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Hybridization Assay Name"	"Array Design REF"	"Array Data File"
"003016016001"	"003016016001"	"003016016001"	"biotin"	"CHEBI"	"15956"	"APAPControl-2 hr"	"HG-U133_Plus_2"	"003016016001.CEL"
"003016016002"	"003016016002"	"003016016002"	"biotin"	"CHEBI"	"15956"	"APAPControl-2 hr"	"HG-U133_Plus_2"	"003016016002.CEL"
"003016016009"	"003016016009"	"003016016009"	"biotin"	"CHEBI"	"15956"	"APAPControl-8 hr"	"HG-U133_Plus_2"	"003016016009.CEL"
"003016016010"	"003016016010"	"003016016010"	"biotin"	"CHEBI"	"15956"	"APAPControl-8 hr"	"HG-U133_Plus_2"	"003016016010.CEL"
"003016016017"	"003016016017"	"003016016017"	"biotin"	"CHEBI"	"15956"	"APAPControl-24 hr"	"HG-U133_Plus_2"	"003016016017.CEL"
"003016016018"	"003016016018"	"003016016018"	"biotin"	"CHEBI"	"15956"	"APAPControl-24 hr"	"HG-U133_Plus_2"	"003016016018.CEL"
"003016016003"	"003016016003"	"003016016003"	"biotin"	"CHEBI"	"15956"	"APAPLow-2 hr"	"HG-U133_Plus_2"	"003016016003.CEL"
"003016016004"	"003016016004"	"003016016004"	"biotin"	"CHEBI"	"15956"	"APAPLow-2 hr"	"HG-U133_Plus_2"	"003016016004.CEL"
"003016016011"	"003016016011"	"003016016011"	"biotin"	"CHEBI"	"15956"	"APAPLow-8 hr"	"HG-U133_Plus_2"	"003016016011.CEL"
"003016016012"	"003016016012"	"003016016012"	"biotin"	"CHEBI"	"15956"	"APAPLow-8 hr"	"HG-U133_Plus_2"	"003016016012.CEL"
"003016016019"	"003016016019"	"003016016019"	"biotin"	"CHEBI"	"15956"	"APAPLow-24 hr"	"HG-U133_Plus_2"	"003016016019.CEL"
"003016016020"	"003016016020"	"003016016020"	"biotin"	"CHEBI"	"15956"	"APAPLow-24 hr"	"HG-U133_Plus_2"	"003016016020.CEL"
"003016016005"	"003016016005"	"003016016005"	"biotin"	"CHEBI"	"15956"	"APAPMiddle-2 hr"	"HG-U133_Plus_2"	"003016016005.CEL"
"003016016006"	"003016016006"	"003016016006"	"biotin"	"CHEBI"	"15956"	"APAPMiddle-2 hr"	"HG-U133_Plus_2"	"003016016006.CEL"
"003016016013"	"003016016013"	"003016016013"	"biotin"	"CHEBI"	"15956"	"APAPMiddle-8 hr"	"HG-U133_Plus_2"	"003016016013.CEL"
"003016016014"	"003016016014"	"003016016014"	"biotin"	"CHEBI"	"15956"	"APAPMiddle-8 hr"	"HG-U133_Plus_2"	"003016016014.CEL"
"003016016021"	"003016016021"	"003016016021"	"biotin"	"CHEBI"	"15956"	"APAPMiddle-24 hr"	"HG-U133_Plus_2"	"003016016021.CEL"
"003016016022"	"003016016022"	"003016016022"	"biotin"	"CHEBI"	"15956"	"APAPMiddle-24 hr"	"HG-U133_Plus_2"	"003016016022.CEL"
"003016016007"	"003016016007"	"003016016007"	"biotin"	"CHEBI"	"15956"	"APAPHigh-2 hr"	"HG-U133_Plus_2"	"003016016007.CEL"
"003016016008"	"003016016008"	"003016016008"	"biotin"	"CHEBI"	"15956"	"APAPHigh-2 hr"	"HG-U133_Plus_2"	"003016016008.CEL"
"003016016015"	"003016016015"	"003016016015"	"biotin"	"CHEBI"	"15956"	"APAPHigh-8 hr"	"HG-U133_Plus_2"	"003016016015.CEL"
"003016016016"	"003016016016"	"003016016016"	"biotin"	"CHEBI"	"15956"	"APAPHigh-8 hr"	"HG-U133_Plus_2"	"003016016016.CEL"
"003016016023"	"003016016023"	"003016016023"	"biotin"	"CHEBI"	"15956"	"APAPHigh-24 hr"	"HG-U133_Plus_2"	"003016016023.CEL"
"003016016024"	"003016016024"	"003016016024"	"biotin"	"CHEBI"	"15956"	"APAPHigh-24 hr"	"HG-U133_Plus_2"	"003016016024.CEL"
